City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Bongaree,AU,2021-07-18 00:45:19,-27.0797,153.1586,292.16,42,0,5.37
150,Puerto Ayora,EC,2021-07-18 00:44:52,-0.7393,-90.3518,295.12,93,94,2.68
151,Helong,CN,2021-07-18 00:45:19,42.5397,128.9972,301.21,64,26,1.1
152,Severo-Kurilsk,RU,2021-07-18 00:45:19,50.6789,156.125,287.13,95,100,1.16
153,Vaini,TO,2021-07-18 00:45:18,-21.2,-175.2,300.24,83,40,3.6
154,Busselton,AU,2021-07-18 00:41:57,-33.65,115.3333,286.68,82,100,3.46
155,Severo-Kurilsk,RU,2021-07-18 00:45:19,50.6789,156.125,287.13,95,100,1.16
156,Cidreira,BR,2021-07-18 00:45:01,-30.1811,-50.2056,286.52,78,11,6.25
157,Ushuaia,AR,2021-07-18 00:45:01,-54.8,-68.3,274.96,87,0,1.54
158,Arraial Do Cabo,BR,2021-07-18 00:42:44,-22.9661,-42.0278,294.27,88,1,4.2
159,Kandara,IN,2021-07-18 00:45:20,25.7191,73.2765,304.42,67,100,5.71
160,Lompoc,US,2021-07-18 00:44:53,34.6391,-120.4579,304.33,72,1,6.69
161,Kapaa,US,2021-07-18 00:44:56,22.0752,-159.319,302.33,75,20,2.24
162,Kapaa,US,2021-07-18 00:44:56,22.0752,-159.319,302.33,75,20,2.24
163,Talnakh,RU,2021-07-18 00:45:20,69.4865,88.3972,284.74,89,100,1.22
164,Mataura,NZ,2021-07-18 00:42:07,-46.1927,168.8643,280.64,93,100,0.56
165,Moussoro,TD,2021-07-18 00:45:21,13.6408,16.4901,301.62,53,100,4.1
166,Busselton,AU,2021-07-18 00:41:57,-33.65,115.3333,286.68,82,100,3.46
167,Egvekinot,RU,2021-07-18 00:45:21,66.3167,-179.1667,283.48,79,58,4.71
168,Constitucion,CL,2021-07-18 00:45:21,-35.3333,-72.4167,280.28,72,0,3.28
169,Opuwo,NA,2021-07-18 00:45:22,-18.0607,13.84,288.94,45,1,4.61
170,Antofagasta,CL,2021-07-18 00:40:22,-23.65,-70.4,286.75,80,99,0.09
171,Cape Town,ZA,2021-07-18 00:39:03,-33.9258,18.4232,285.52,96,2,1.03
172,Ponta Delgada,PT,2021-07-18 00:45:22,37.7333,-25.6667,291.55,77,20,1.54
173,Gashua,NG,2021-07-18 00:45:22,12.871,11.0482,298.88,73,100,3.22
174,Jasidih,IN,2021-07-18 00:45:22,24.5167,86.65,299.25,83,100,2.14
175,Cape Town,ZA,2021-07-18 00:39:03,-33.9258,18.4232,285.52,96,2,1.03
176,Hakui,JP,2021-07-18 00:45:23,36.8833,136.7833,306.6,63,60,0.97
177,Kavieng,PG,2021-07-18 00:45:23,-2.5744,150.7967,302.62,69,96,3.17
178,Busselton,AU,2021-07-18 00:41:57,-33.65,115.3333,286.68,82,100,3.46
179,Kupino,RU,2021-07-18 00:45:23,54.3663,77.2981,286.87,98,100,2.82
180,Quelimane,MZ,2021-07-18 00:45:06,-17.8786,36.8883,292.12,82,75,4.02
181,Rikitea,PF,2021-07-18 00:42:15,-23.1203,-134.9692,295.15,73,100,12.03
182,New Norfolk,AU,2021-07-18 00:44:55,-42.7826,147.0587,284.66,47,82,2.56
183,Kodiak,US,2021-07-18 00:44:53,57.79,-152.4072,291.35,67,11,1.09
184,Punta Arenas,CL,2021-07-18 00:45:08,-53.15,-70.9167,277.21,81,75,6.17
185,Castro,BR,2021-07-18 00:45:16,-24.7911,-50.0119,284.75,99,28,2.07
186,George Town,MY,2021-07-18 00:44:54,5.4112,100.3354,301.42,86,20,0.45
187,Artsyz,UA,2021-07-18 00:45:24,45.9919,29.4182,297.71,60,0,3.32
188,Dunedin,NZ,2021-07-18 00:44:55,-45.8742,170.5036,283.04,91,100,3.13
189,Kodiak,US,2021-07-18 00:44:53,57.79,-152.4072,291.35,67,11,1.09
190,Jamestown,US,2021-07-18 00:44:54,42.097,-79.2353,290.54,95,90,2.68
191,Vaini,TO,2021-07-18 00:45:18,-21.2,-175.2,300.24,83,40,3.6
192,Qaanaaq,GL,2021-07-18 00:45:24,77.484,-69.3632,274.97,89,100,2.08
193,Juneau,US,2021-07-18 00:45:19,58.3019,-134.4197,294.18,74,100,2.24
194,Ribeira Grande,PT,2021-07-18 00:45:15,38.5167,-28.7,293.27,71,14,3.4
195,Busselton,AU,2021-07-18 00:41:57,-33.65,115.3333,286.68,82,100,3.46
196,Atuona,PF,2021-07-18 00:44:54,-9.8,-139.0333,298.8,78,8,11.44
197,Busselton,AU,2021-07-18 00:41:57,-33.65,115.3333,286.68,82,100,3.46
198,Chokurdakh,RU,2021-07-18 00:42:34,70.6333,147.9167,279.2,72,100,7.82
199,Bredasdorp,ZA,2021-07-18 00:44:52,-34.5322,20.0403,285.53,87,7,0.0
200,Albany,US,2021-07-18 00:38:30,42.6001,-73.9662,295.52,94,100,1.25
201,Busselton,AU,2021-07-18 00:41:57,-33.65,115.3333,286.68,82,100,3.46
